Index;Wert
0;5.57677389
1;5.10543225
2;5.10147902
3;5.09947357
4;5.09138018
5;5.0562366
6;5.46113941
7;5.55595295
8;5.37954221
9;5.94866415
10;6.98419704
11;6.56471517
12;6.10180147
13;5.10716733
14;5.43451329
15;5.35226785
16;5.16890146
17;5.88808492
18;7.29164053
19;6.03869054
20;7.26592872
21;6.13079456
22;7.93087467
23;8.38830131
24;6.79188202
25;5.0372523
26;4.98154537
27;4.99954898
28;5.03524359
29;5.07273076
30;5.56023163
31;5.58624993
32;5.62960511
33;5.37683148
34;5.26408979
35;5.58391355
36;7.19197028
37;5.11996417
38;5.34193299
39;6.6703682
40;5.38215226
41;5.63864584
42;5.63708113
43;5.95800859
44;5.82729003
45;5.71551604
46;5.87018641
47;6.38986132
48;6.74191493
49;5.43065844
50;5.31891539
51;5.21513892
52;5.09358335
53;5.06714896
54;5.12045538
55;5.12914494
56;5.54656838
57;5.51981278
58;5.31371733
59;5.3362443
60;6.47926229
61;6.9320718
62;6.8258614
63;5.32597659
64;5.24074302
65;6.23167268
66;6.49277648
67;6.38936136
68;6.69327228
69;7.24356562
70;8.03351649
71;8.42822309
72;5.29528757
73;5.13544655
74;5.12161914
75;5.1124761
76;5.09002717
77;5.08525557
78;5.02021114
79;5.32137623
80;5.8692091
81;5.7171816
82;5.7471456
83;5.19190856
84;5.77356564
85;5.32831406
86;5.34586052
87;5.22205637
88;5.3255684
89;5.3597102
90;6.12847318
91;6.47564689
92;6.50753424
93;5.85053889
94;7.32356791
95;6.47040727
96;5.17240368
97;5.14049937
98;5.0993886
99;5.04882817
100;5.04485293
101;5.04090422
102;5.30970702
103;5.70693673
104;5.98332672
105;6.94596649
106;5.59438757
107;5.4730886
108;6.12733229
109;5.3818259
110;5.36704391
111;5.38820335
112;5.23544922
113;5.45719693
114;6.82730009
115;6.71589705
116;6.15417201
117;5.76290243
118;6.22550536
119;6.84832146
120;5.75526127
121;5.11383403
122;5.13942249
123;5.10783893
124;5.11108075
125;5.05604469
126;5.27456726
127;6.12281234
128;6.18040158
129;5.79352171
130;5.57932233
131;5.13657988
132;5.88652331
133;5.78456065
134;5.78126753
135;5.52260956
136;5.36706964
137;5.72082446
138;7.41555906
139;6.23953234
140;5.68367516
141;5.59993632
142;5.92821535
143;7.64667736
144;6.1055684
145;5.34072712
146;5.10790851
147;5.05795085
148;5.06585669
149;5.07828488
150;5.21685602
151;5.58240068
152;5.46319413
153;5.85547536
154;5.94355713
155;5.31158953
156;5.79800023
157;6.13364475
158;7.63531996
159;6.55735365
160;7.27871458
161;6.13599683
162;5.72271027
163;6.17129594
164;7.33122205
165;5.84851219
166;7.59817511
167;6.7180907
168;5.63820766
169;5.08569234
170;5.04493137
171;5.07504023
172;5.08154684
173;5.04260327
174;5.46690608
175;5.55795295
176;5.38574221
177;6.04945166
178;6.91933038
179;6.64151517
180;5.97253463
181;5.14716733
182;5.43263413
183;5.40072939
184;5.06190432
185;5.91688492
186;7.32764053
187;6.09629054
188;7.35232872
189;6.19239456
190;7.63401933
191;8.42030131
192;6.80060607
193;5.0292523
194;4.99034537
195;5.00099978
196;4.99783865
197;5.01341282
198;5.55557098
199;5.61294506
200;5.63267552
201;5.40476131
202;5.24960694
203;5.73591355
204;7.1527204
205;5.08910244
206;5.21524943
207;6.52400135
208;5.28636362
209;5.5161843
210;5.59665349
211;5.93480859
212;5.72809003
213;5.56911604
214;6.39299943
215;6.66211007
216;6.77900421
217;5.43443233
218;5.32588929
219;5.14914267
220;5.00318335
221;5.07274896
222;5.17085538
223;5.1342725
224;5.59616838
225;5.56278389
226;5.2564254
227;5.27727478
228;6.53541614
229;6.94747257
230;6.83949592
231;5.38000189
232;5.24305071
233;6.21193418
234;6.50397648
235;6.38456136
236;6.75647228
237;7.32756562
238;7.72530119
239;8.43682971
240;5.35720718
241;5.10049148
242;5.10161914
243;5.0902761
244;5.03646051
245;5.01245822
246;5.01743942
247;5.33640148
248;5.89550546
249;5.83134542
250;5.80137299
251;5.16587546
252;5.66342351
253;5.3052457
254;5.25023705
255;5.12666438
256;5.25326071
257;5.33206586
258;6.21053754
259;6.60844689
260;6.64913424
261;5.96931759
262;6.97585703
263;6.45199563
264;5.10907035
265;5.11139937
266;5.05525527
267;5.03332817
268;5.05165293
269;5.03987089
270;5.28771777
271;5.61189926
272;5.87284411
273;6.81495446
274;5.60238757
275;5.4010886
276;6.0411067
277;5.2818259
278;5.32064391
279;5.35780335
280;5.18104922
281;5.44039693
282;6.84955089
283;6.66341666
284;6.15577201
285;5.76734504
286;6.21948809
287;6.85595687
288;5.81158492
289;5.12171799
290;5.12635773
291;5.11578595
292;5.1494248
293;5.12299976
294;5.33706726
295;6.126979
296;6.22706824
297;5.81602171
298;5.61226093
299;5.19072143
300;5.83205667
301;5.69016065
302;5.69166753
303;5.47460956
304;5.43000079
305;5.72861782
306;7.40805906
307;6.223699
308;5.69700849
309;5.65243632
310;5.95738202
311;7.63751069
312;5.99723506
313;5.21406045
314;4.97672334
315;4.965951
316;5.017545
317;4.96114719
318;5.05323284
319;5.39439344
320;5.40904911
321;5.79619999
322;5.7077238
323;5.32012286
324;5.67127319
325;6.14361326
326;7.66838141
327;6.56135365
328;7.30621871
329;6.13294143
330;5.78694361
331;6.19389917
332;7.37832231
333;5.85373813
334;8.29518472
335;6.91425185
336;5.54717433
337;5.03409234
338;5.01459804
339;5.02864023
340;5.02888018
341;4.96790327
342;5.36697275
343;5.47095295
344;5.32370888
345;5.92033082
346;6.84336371
347;6.45928184
348;5.92406814
349;5.04806477
350;5.33771841
351;5.2661781
352;4.98474074
353;5.70221826
354;7.14144053
355;5.91699054
356;7.15066206
357;5.99819456
358;7.81976445
359;8.29500059
360;6.71210094
361;4.96627358
362;4.92467699
363;4.91607336
364;4.92674831
365;4.92547689
366;5.40474589
367;5.44584385
368;5.5151478
369;5.23852696
370;5.14173354
371;5.49091355
372;7.09257028
373;5.01329751
374;5.20786633
375;6.5135682
376;5.17478559
377;5.39797918
378;5.4019792
379;5.72613385
380;5.5791188
381;5.48002583
382;6.26019951
383;6.49353281
384;6.58175784
385;5.21935409
386;5.06472409
387;4.93343457
388;4.81431379
389;4.79462722
390;4.82476842
391;4.85300581
392;5.31300316
393;5.33511713
394;5.13319559
395;5.19483331
396;6.42334256
397;6.84936127
398;6.73005013
399;5.28233129
400;5.15820122
401;5.93174757
402;6.16387213
403;6.05040545
404;6.45586624
405;7.04130475
406;7.81213746
407;8.17370885
408;4.96545065
409;4.7324668
410;4.73707368
411;4.67611246
412;4.63449687
413;4.64909458
414;4.66667578
415;4.99763785
416;5.53444547
417;5.36961796
418;5.3539456
419;4.84012674
420;5.4067189
421;4.96041092
422;4.9852456
423;4.86947374
424;4.94209014
425;5.03083747
426;5.80556409
427;6.17066507
428;6.13837061
429;5.47611759
430;6.86070867
431;5.85335921
432;4.54430622
433;4.57417139
434;4.57512987
435;4.57198788
436;4.58234109
437;4.59210087
438;4.75295937
439;5.05885841
440;5.46869866
441;6.49059082
442;5.31307848
443;5.17621967
444;5.79936757
445;5.13879981
446;5.18069105
447;5.16487693
448;5.004339
449;5.31552666
450;6.7618533
451;6.59736449
452;5.93455462
453;5.51144048
454;5.91014246
455;6.50043188
456;5.41337494
457;4.76439382
458;4.79608577
459;4.80147529
460;4.79630802
461;4.7051356
462;4.92790059
463;5.74334264
464;5.78290158
465;5.34587019
466;5.16006396
467;4.76967079
468;5.47431461
469;5.56275196
470;5.65242834
471;5.44250521
472;5.25864052
473;5.37271233
474;7.03378104
475;5.86551719
476;5.33958425
477;5.36660298
478;5.70556384
479;7.40190463
480;5.78715931
481;5.04989379
482;4.86965093
483;4.84281788
484;4.82023141
485;4.80780869
486;4.89670957
487;5.2714646
488;5.16997672
489;5.57533043
490;5.63786873
491;5.19635475
492;5.59054521
493;5.97657993
494;7.48964808
495;6.37718699
496;7.17670849
497;6.02979707
498;5.58980593
499;5.99676148
