Index;Wert
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0.501959735
10;0.683754766
11;0.544165802
12;0.784697517
13;0.43012449
14;0.447474458
15;0.550328249
16;0.0607784606
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;0
32;0
33;0.0794795254
34;0
35;0.257139641
36;0.629226399
37;0.572001313
38;0.149608518
39;0.107531123
40;0.0420773958
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0.36216257
58;0.604956705
59;0.8015126
60;1.47555154
61;0.8024869
62;1.39897924
63;1.90547977
64;0.070128993
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0.496189151
82;1.44376492
83;2.54754092
84;0.913963856
85;0.470164566
86;0.777728638
87;0.346286656
88;0.0561031944
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0.906547376
106;0.827058514
107;0.759230829
108;1.84615503
109;0.474788934
110;0.224412777
111;0.219737511
112;0.070128993
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0.952237213
130;1.1167089
131;0.526636559
132;2.07693668
133;0.731261479
134;1.18702349
135;0.312714453
136;0.0748042592
137;0
138;0
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;0
152;0
153;1.01036348
154;1.94514724
155;1.30486225
156;0.704753335
157;0.266490173
158;0.177660116
159;0.532335286
160;0.0140257986
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;0
176;0
177;0.991966834
178;1.91419869
179;2.9189554
180;2.19828171
181;1.88462545
182;1.49712968
183;0.832208719
184;0.664570936
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0.205115842
202;0.275840706
203;0.243113842
204;0.252464375
205;0.299217037
206;0.317918101
207;0.325662267
208;0.155985788
209;0
210;0
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;0
224;0
225;0.0888300578
226;0.177660116
227;0.539938663
228;0.388047094
229;1.02444751
230;0.553951848
231;0.499735127
232;0.218404314
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0.258811181
250;0.0794795254
251;0.163634317
252;0.90664938
253;0.416098692
254;0.675331377
255;0.992183083
256;0.0327268634
257;0
258;0
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;0
272;0
273;0.167311605
274;0.688090793
275;0.553554036
276;0.261814907
277;0.96082527
278;1.18219842
279;0.923606915
280;0.3955684
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0.13558272
298;0.182335382
299;2.56838823
300;2.31587214
301;1.10811518
302;0.341294432
303;0.590874076
304;0.16127034
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;1.25375679
322;2.01991073
323;2.88494848
324;3.10259396
325;3.16282014
326;2.72919538
327;1.26693558
328;0.260504842
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;0
344;0
345;0.563253788
346;0.679428924
347;0.317918101
348;0.215062245
349;0.13558272
350;0.601059424
351;0.0841547916
352;0.485950989
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0.462546995
370;0.46084651
371;1.22860722
372;0.36934603
373;0.229088044
374;0.364670763
375;0.252464375
376;0.0607784606
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0.219828408
394;0.508287196
395;1.17181279
396;0.266490173
