Index;Wert
0;4.04615307
1;1.58673072
2;1.53556967
3;1.55127859
4;1.58143389
5;1.83158362
6;4.30979586
7;5.35621119
8;4.70234203
9;5.12838888
10;6.18863773
11;5.39382076
12;4.16101742
13;3.04892707
14;2.94023037
15;3.2234807
16;3.10835481
17;4.33404589
18;7.0467
19;5.82974911
20;7.06258821
21;5.92345333
22;7.73873472
23;5.62648582
24;3.36987352
25;1.61593032
26;1.56742334
27;1.56847775
28;1.58896542
29;1.8431716
30;4.37275743
31;5.30894136
32;5.30374861
33;5.12276888
34;4.79552555
35;4.69850349
36;5.21984243
37;3.2900424
38;3.22453117
39;4.45872259
40;3.31195402
41;4.06978703
42;5.31693935
43;5.62826729
44;5.50074863
45;5.39297438
46;6.15274858
47;3.85063601
48;3.09096813
49;1.74215198
50;1.62980592
51;1.52862644
52;1.42667663
53;1.63414598
54;3.38012195
55;4.37835312
56;4.83355045
57;4.6482439
58;3.73056555
59;2.56502891
60;4.00749207
61;3.6204896
62;2.73052192
63;2.96269703
64;3.04960489
65;4.34865189
66;5.91604996
67;6.13562012
68;6.48753119
69;6.99052334
70;6.25552559
71;4.95522261
72;1.78828192
73;1.54019523
74;1.5249809
75;1.51666701
76;1.49422228
77;1.72544539
78;3.59370422
79;4.96308899
80;5.18454838
81;4.07243443
82;2.94804931
83;3.72220707
84;3.82104063
85;2.82100677
86;2.9320066
87;2.93635917
88;3.24431825
89;3.79764938
90;5.90673161
91;6.28910589
92;6.32499313
93;5.67637634
94;6.87868977
95;3.08674264
96;1.64539146
97;1.64600825
98;1.64906418
99;1.63433707
100;1.66111064
101;1.92698121
102;4.24470901
103;5.42886162
104;4.78628969
105;5.81019211
106;4.65514755
107;3.34755373
108;4.59255409
109;3.48540401
110;3.16434407
111;3.18191624
112;3.22181058
113;4.0309906
114;6.63981009
115;6.48327589
116;5.97003078
117;5.58430767
118;6.01257515
119;4.37314987
120;2.32096243
121;1.63728666
122;1.64350581
123;1.63608897
124;1.67507958
125;1.90941501
126;4.26992798
127;5.84723759
128;4.98035526
129;4.4213953
130;4.78007984
131;2.79595947
132;4.77422094
133;3.04820347
134;3.61921048
135;3.49300241
136;3.56898689
137;4.34519005
138;7.0941515
139;5.94395781
140;5.41893339
141;5.41686153
142;5.75764084
143;5.36387587
144;2.6450336
145;1.8935461
146;1.64239407
147;1.61326969
148;1.64942431
149;1.88982451
150;4.06742239
151;5.37682581
152;4.26346207
153;3.72452784
154;4.32044697
155;4.22262669
156;4.04229355
157;4.30714321
158;5.13230515
159;4.40832996
160;5.33201408
161;4.63315296
162;5.49136877
163;5.91832447
164;7.12774849
165;5.61899662
166;8.08627796
167;4.16101074
168;1.9060303
169;1.33484983
170;1.28368878
171;1.29939771
172;1.37850559
173;1.55827844
174;3.7202754
175;5.19722605
176;3.93762755
177;3.57353997
178;2.8542459
179;2.77558732
180;2.26449013
181;1.82339203
182;2.72156167
183;2.7810626
184;3.19399714
185;4.13207722
186;6.34777546
187;5.16394663
188;6.1189003
189;4.81561613
190;5.70006752
191;4.9235177
192;3.33365345
193;1.57971025
194;1.53120339
195;1.5322578
196;1.55274546
197;1.80055976
198;4.27475023
199;5.30894136
200;5.17810631
201;4.84692812
202;4.80955124
203;4.46108818
204;5.39880371
205;3.03437877
206;2.9276886
207;4.27060175
208;3.23525286
209;3.9803021
210;5.31693935
211;5.62826729
212;5.50074863
213;5.39297438
214;6.07820559
215;3.26662683
216;3.12076378
217;1.7719475
218;1.65960145
219;1.55842209
220;1.45647216
221;1.66919959
222;3.46074557
223;4.48351431
224;5.20399666
225;5.09641123
226;4.19723654
227;3.73929596
228;3.86311674
229;4.53544569
230;4.19580936
231;2.87646031
232;3.11270142
233;4.42226505
234;6.02296352
235;6.13562012
236;6.48753119
237;7.06982517
238;6.59007502
239;4.98677063
240;1.76885307
241;1.52076638
242;1.50555217
243;1.49723828
244;1.47479355
245;1.7025882
246;3.54113245
247;4.89451742
248;5.42227077
249;5.43676043
250;5.33056974
251;3.46579266
252;3.82479906
253;2.87634397
254;2.24608421
255;2.91973543
256;3.20317507
257;3.74964905
258;5.90673161
259;6.28910589
260;6.32499313
261;5.67637634
262;6.54272842
263;3.06617117
264;1.59643519
265;1.59705198
266;1.60010791
267;1.58538079
268;1.61215436
269;1.86938548
270;4.11223936
271;5.42886162
272;5.52619743
273;5.94935942
274;4.860744
275;4.46821356
276;3.61656332
277;2.4113493
278;2.35611391
279;2.75731921
280;3.11813831
281;3.9100399
282;6.63981009
283;6.48327589
284;5.97003078
285;5.58430767
286;6.01257515
287;3.70059705
288;2.3400104
289;1.65633488
290;1.66255403
291;1.65513718
292;1.6941278
293;1.93182468
294;4.32146931
295;5.84723759
296;5.79757738
297;5.35561132
298;2.74180984
299;2.55848312
300;4.46004391
301;4.24154663
302;3.38324285
303;3.44607043
304;3.60932398
305;4.39225006
306;7.0941515
307;5.94395781
308;5.41893339
309;5.41686153
310;5.75764084
311;5.43169117
312;2.72003794
313;1.9063158
314;1.65516365
315;1.62603927
316;1.72442889
317;1.93412066
318;4.21898842
319;5.37682581
320;4.02137709
321;3.65139961
322;2.74411535
323;1.96026039
324;2.33720326
325;2.78506994
326;5.20451164
327;5.04913378
328;6.14605713
329;5.19907379
330;5.49136877
331;5.91832447
332;7.12774849
333;5.61899662
334;6.90477085
335;3.73186255
336;2.42341089
337;1.90118289
338;1.85002184
339;1.86573076
340;1.89588606
341;2.20152712
342;5.16066647
343;5.35621119
344;4.64186668
345;5.13312864
346;6.41487122
347;6.11031199
348;5.64207745
349;4.31583452
350;4.96550751
351;3.44779754
352;3.77425337
353;5.11092758
354;7.0467
355;5.82974911
356;7.06258821
357;5.92345333
358;7.73873472
359;6.97292328
360;3.7419281
361;1.9879849
362;1.93947804
363;1.94053245
364;1.96101999
365;2.28088284
366;5.28759527
367;5.30894136
368;4.92094517
369;4.66199923
370;3.82510996
371;5.03682566
372;6.73874187
373;4.48555136
374;4.79732704
375;5.47357941
376;4.09983444
377;4.98898029
378;5.31693935
379;5.62826729
380;5.50074863
381;5.39297438
382;6.15274858
383;5.3431778
384;3.75801516
385;2.40919876
386;2.29685283
387;2.19567347
388;2.09372354
389;2.41890693
390;4.84111309
391;4.86500311
392;5.07304144
393;4.76590776
