Index;Wert
0;5.34057619E-07
1;3.52859502E-07
2;6.00814815E-07
3;1.05619426E-06
4;1.56641011E-06
5;1.41859061E-07
6;0
7;0
8;0
9;0
10;1.12533564E-06
11;0
12;6.00814758E-08
13;3.63349898E-07
14;1.39904023E-06
15;4.33921798E-07
16;0
17;0
18;0
19;3.81469718E-08
20;0
21;1.61647802E-06
22;1.28746024E-07
23;8.67843653E-07
24;0
25;5.38825986E-07
26;6.48498542E-07
27;5.72204613E-08
28;7.05719003E-07
29;0
30;1.0299683E-06
31;0
32;2.09808348E-07
33;6.38961808E-07
34;0
35;0
36;3.05175774E-07
37;0
38;0
39;5.53131088E-07
40;0
41;0
42;0
43;1.20162963E-06
44;0
45;5.62667822E-07
46;0
47;0
48;7.62939464E-07
49;0
50;0
51;0
52;0
53;0
54;8.58306919E-08
55;0
56;8.15391559E-07
57;0
58;0
59;2.97546393E-07
60;2.62260443E-07
61;1.25885009E-07
62;0
63;8.15391559E-07
64;0
65;1.04904174E-07
66;0
67;3.57627869E-07
68;3.29017638E-07
69;0
70;0
71;3.81469732E-07
72;1.18255616E-06
73;5.55515271E-07
74;0
75;0
76;0
77;1.2207031E-06
78;7.34329205E-07
79;4.48226928E-07
80;0
81;0
82;0
83;0
84;5.81741304E-08
85;4.24385064E-07
86;1.18350988E-06
87;0
88;9.25064114E-07
89;1.32560729E-06
90;1.50680546E-06
91;3.38554372E-07
92;4.86373892E-07
93;0
94;2.09808348E-07
95;3.45706951E-07
96;5.24520871E-08
97;1.15513797E-06
98;8.34465027E-07
99;4.09483903E-07
100;0
101;8.53538495E-07
102;0
103;1.14440915E-07
104;0
105;1.90734859E-08
106;5.24520885E-07
107;9.99450663E-07
108;0
109;0
110;5.62667822E-07
111;0
112;0
113;6.48498542E-07
114;3.81469732E-07
115;0
116;0
117;1.71661372E-06
118;1.45912168E-06
119;1.28746035E-06
120;0
121;0
122;0
123;6.2704089E-07
124;1.88350668E-07
125;1.73091894E-06
126;1.05619426E-06
127;0
128;3.52859502E-07
129;0
130;0
131;0
132;0
133;0
134;0
135;0
136;0
137;0
138;0
139;2.5272368E-07
140;2.13384624E-07
141;0
142;6.50882725E-07
143;0
144;6.2465665E-07
145;0
146;3.05175774E-07
147;2.13384624E-07
148;7.16447857E-07
149;0
150;0
151;3.50475318E-07
152;3.09944141E-08
153;5.10215784E-07
154;7.15255737E-07
155;6.17980959E-07
156;0
157;0
158;0
159;0
160;4.76837165E-08
161;0
162;0
163;8.51631171E-07
164;1.03378295E-06
165;2.49862666E-07
166;9.82284519E-07
167;0
168;9.25064114E-07
169;0
170;0
171;0
172;0
173;0
174;0
175;1.39713291E-06
176;0
177;1.50680546E-06
178;3.43322768E-07
179;0
180;0
181;0
182;0
183;1.05094909E-06
184;0
185;5.24520885E-07
186;0
187;0
188;7.24792471E-07
189;0
190;4.76837165E-08
191;8.10623192E-07
192;1.06811524E-06
193;4.38690194E-07
194;0
195;0
196;7.24792471E-07
197;0
198;1.90734866E-07
199;7.91549667E-07
200;4.48226928E-07
201;3.48091135E-07
202;0
203;0
204;0
205;1.00231171E-06
206;6.73294039E-07
207;1.65271763E-06
208;0
209;0
210;0
211;1.43527984E-06
212;6.48498542E-07
213;4.76837165E-08
214;0
215;3.45706951E-07
216;0
217;0
218;1.45912168E-06
219;0
220;0
221;0
222;0
223;0
224;8.17298883E-07
225;0
226;0
227;0
228;0
229;5.53131088E-07
230;3.78608718E-07
231;9.53674117E-09
232;0
233;5.43594354E-07
234;6.05583182E-07
235;7.24792471E-07
236;5.0544736E-07
237;9.44137582E-07
238;1.3828278E-06
239;0
240;1.04904174E-07
241;0
242;0
243;2.9563904E-07
244;1.32560729E-06
245;0
246;1.61647802E-06
247;0
248;1.04904174E-07
249;4.38690194E-07
250;1.0299683E-06
251;9.82284519E-07
252;8.58306919E-08
253;1.03378295E-06
254;9.46998625E-07
255;0
256;1.41716009E-06
257;1.76620483E-06
258;0
259;0
260;3.24249271E-07
261;3.14712508E-07
262;7.24792471E-07
263;7.62939436E-08
264;0
265;0
266;8.67843653E-07
267;1.50680546E-06
268;0
269;0
270;0
271;4.38690194E-07
272;0
273;4.48226928E-07
274;0
275;0
276;0
277;0
278;1.6021728E-06
279;5.0544736E-07
280;0
281;0
282;1.90734859E-08
283;1.28746024E-07
284;0
285;1.2207031E-06
286;0
287;0
288;0
