Index;Wert
0;9.41235352
1;9.45946312
2;9.44164944
3;9.41654873
4;9.39144611
5;9.36634064
6;9.34039688
7;9.31528854
8;9.26481056
9;9.39228249
10;9.38109207
11;9.46619797
12;9.35482025
13;9.38945389
14;9.3625288
15;9.44152546
16;9.43087292
17;9.38671207
18;9.3505764
19;9.34495544
20;9.34897041
21;9.33371449
22;9.32728767
23;9.32327271
24;9.31925774
25;9.31202888
26;9.32893753
27;9.35733318
28;9.4015274
29;9.41390419
30;9.41856766
31;9.38770008
32;9.39536953
33;9.35282135
34;9.31925774
35;9.36583424
36;9.41160393
37;9.43408394
38;9.44853592
39;9.45495892
40;9.45576096
41;9.46218491
42;9.47181892
43;9.4686079
44;9.46459293
45;9.46378994
46;9.46619797
47;9.45897293
48;9.45174789
49;9.44853592
50;9.44211388
51;9.43006992
52;9.40758896
53;9.42123795
54;9.40598297
55;9.39554405
56;9.38751507
57;9.41561794
58;9.41436958
59;9.35963821
60;9.37792397
61;9.38465118
62;9.38657284
63;9.34614182
64;9.46121502
65;9.42926693
66;9.39554405
67;9.34736443
68;9.31524181
69;9.32301521
70;9.3378582
71;9.37397385
72;9.45787525
73;9.45085335
74;9.44583321
75;9.45001602
76;9.43576145
77;9.34832001
78;9.31858444
79;9.32969761
80;9.34254646
81;9.39474106
82;9.4453249
83;9.43761635
84;9.43501663
85;9.46783447
86;9.46916103
87;9.43167591
88;9.39313507
89;9.36342621
90;9.32809258
91;9.3240757
92;9.31563759
93;9.34084034
94;9.39536953
95;9.45419884
96;9.41822147
97;9.37387371
98;9.33788681
99;9.32031059
100;9.31612587
101;9.36215591
102;9.41905785
103;9.43105698
104;9.44994736
105;9.32166672
106;9.42284393
107;9.45989513
108;9.46700096
109;9.46459293
110;9.46940994
111;9.45415592
112;9.37787914
113;9.32893753
114;9.37397385
115;9.32568169
116;9.32006073
117;9.35432529
118;9.37549496
119;9.39690781
120;9.43576145
121;9.45503616
122;9.43077278
123;9.40818024
124;9.39060879
125;9.39730358
126;9.41654873
127;9.38809776
128;9.3964653
129;9.41390419
130;9.40758896
131;9.46138191
132;9.43087292
133;9.40758896
134;9.36021328
135;9.3126955
136;9.41390419
137;9.46256542
138;9.4366293
139;9.40567017
140;9.32365799
141;9.31110382
142;9.30775642
143;9.35797215
144;9.34123421
145;9.35964584
146;9.33872414
147;9.32365799
148;9.35629845
149;9.36717796
150;9.3462553
151;9.32951736
152;9.32700634
153;9.4600563
154;9.39634705
155;9.45068359
156;9.38642311
157;9.4003334
158;9.40758896
159;9.32449341
160;9.38158798
161;9.37306213
162;9.40542221
163;9.36268997
164;9.38516521
165;9.43242073
166;9.45736694
167;9.4268589
168;9.39313507
169;9.40357399
170;9.41802597
171;9.40758896
172;9.37868214
173;9.37306213
174;9.34334946
175;9.32247066
176;9.37853813
177;9.32809258
178;9.45816994
179;9.35527229
180;9.40480614
181;9.42970181
182;9.4230051
183;9.34911728
184;9.45977592
185;9.42284393
186;9.40839195
187;9.43167591
188;9.41080093
189;9.3835001
190;9.35941029
191;9.33190632
192;9.31122589
193;9.32086372
194;9.3305006
195;9.32006073
196;9.34233475
197;9.40925407
198;9.44520664
199;9.39076424
200;9.42324066
201;9.33853149
202;9.47181892
203;9.34666252
204;9.42216301
205;9.35624981
206;9.35150909
207;9.40265083
208;9.35578346
209;9.42853546
210;9.44853592
211;9.36904716
212;9.31765079
213;9.38158798
214;9.44994736
215;9.45419884
216;9.45469856
217;9.45469856
218;9.37549496
219;9.33933449
220;9.41320896
221;9.47181892
222;9.41950607
223;9.4453249
224;9.43631649
225;9.37388611
226;9.37215328
227;9.42970181
228;9.40913391
229;9.41238308
230;9.41343117
231;9.34903526
232;9.44413567
233;9.44050789
234;9.39072704
235;9.41080093
236;9.39955902
237;9.41642094
238;9.4332819
239;9.43649292
240;9.42364693
241;9.43167591
242;9.42444992
243;9.39715004
244;9.36342621
245;9.34575844
246;9.33371449
247;9.35582733
248;9.45628548
249;9.44836617
250;9.41856766
251;9.32153702
252;9.40598297
253;9.38516521
254;9.40576553
255;9.38849354
256;9.38014317
257;9.44937229
258;9.46138191
