Index;Wert
0;100
1;96.7769225
2;91.3737727
3;89.1672124
4;88.8192615
5;86.1892467
6;85.5723261
7;84.7477779
8;83.851947
9;83.8211954
10;83.6644356
11;81.8062972
12;81.1652776
13;81.1204541
14;81.1147079
15;80.9730997
16;80.1575884
17;80.0855054
18;79.3068291
19;78.7776416
20;78.6357199
21;78.3035438
22;78.2266239
23;78.0967466
24;77.1369631
25;76.9499391
26;76.09764
27;75.8083373
28;75.6930855
29;75.653965
30;75.6496323
31;75.0099659
32;74.8781336
33;74.3270314
34;74.1642342
35;73.5093437
36;72.8295326
37;72.8245785
38;72.3998546
39;71.894863
40;71.8725402
41;71.5870901
42;71.4614635
43;71.4102318
44;71.3960557
45;71.375491
46;71.3221016
47;71.3110355
48;71.2960834
49;71.1425219
50;70.7937534
51;70.7394208
52;70.7276821
53;70.1438216
54;70.0926753
55;69.9644952
56;69.6804796
57;69.6765896
58;69.480773
59;69.4468479
60;69.3938119
61;69.2214915
62;69.1516745
63;68.9673218
64;68.8728913
65;68.7690918
66;68.7630113
67;68.6882588
68;68.685384
69;68.6483175
70;68.6234143
71;68.6124005
72;68.5935579
73;68.5275186
74;68.4576738
75;68.4560506
76;68.4124823
77;68.4071148
78;68.3469408
79;68.1923717
80;68.1454624
81;68.1181025
82;68.0652684
83;68.0614394
84;67.9168298
85;67.5535961
86;67.4507506
87;67.4327356
88;67.2679104
89;67.1782926
90;67.1351084
91;67.0354905
92;66.9806796
93;66.9130675
94;66.8762533
95;66.8697732
96;66.8606928
97;66.6934254
98;66.6842935
99;66.6842918
100;66.5443798
101;66.5330867
102;66.5242632
103;66.5197409
104;66.4608772
105;66.4315751
106;66.3206337
107;66.209096
108;66.1836269
109;66.1270786
110;66.0753636
111;66.0360687
112;65.9771003
113;65.6458036
114;65.5995799
115;65.4977052
116;65.38764
117;65.3545579
118;65.2551329
119;65.2263755
120;65.2259928
121;65.1449571
122;65.1361246
123;65.0580675
124;65.031251
125;64.9762957
126;64.9447753
127;64.8876773
128;64.8106791
129;64.8022648
130;64.728883
131;64.5994883
132;64.5899356
133;64.5399259
134;64.5036808
135;64.4609297
136;64.4376876
137;64.4361398
138;64.4276263
139;64.4120687
140;64.4046527
141;64.3797973
142;64.339943
143;64.2441913
144;64.1784531
145;64.0384174
146;64.0330405
147;63.9917649
148;63.9634652
149;63.8846857
150;63.881895
151;63.8455307
152;63.7098274
153;63.6319346
154;63.5179193
155;63.4853636
156;63.4290433
157;63.4217518
158;63.3592211
159;63.3451703
160;63.2697179
161;63.1465211
162;63.1358705
163;63.0928131
164;63.079547
165;63.0641375
