Index;Wert
0;17.8618185
1;17.7821364
2;17.7190953
3;17.6684584
4;17.6272027
5;17.5931509
6;18.9286454
7;19.0346367
8;19.1106622
9;19.256213
10;19.3255573
11;19.372153
12;19.4539017
13;19.4829002
14;19.5243891
15;19.5727379
16;19.536487
17;19.5195427
18;19.5055987
19;19.4924789
20;19.4811573
21;19.473362
22;18.1039478
23;17.9687003
24;17.8677698
25;17.7910387
26;17.7316839
27;17.6848887
28;17.6472728
29;17.6162152
30;18.9542098
31;19.0637733
32;19.1448732
33;19.2161633
34;19.2580462
35;19.326099
36;19.4090587
37;19.4550191
38;19.4499278
39;19.4612309
40;19.4655354
41;19.4675087
42;19.4712685
43;19.4749523
44;19.4783484
45;19.4805144
46;18.1179253
47;17.9889529
48;17.8931036
49;17.8197434
50;17.762815
51;17.718306
52;17.6827947
53;17.6535506
54;18.9934864
55;19.1055477
56;19.1866891
57;19.3070254
58;19.3886742
59;19.4631454
60;19.5582233
61;19.580045
62;19.6706774
63;19.8156743
64;19.6555783
65;19.613664
66;19.5806694
67;19.5532382
68;19.530201
69;19.5095103
70;18.1283231
71;17.9849914
72;17.8775634
73;17.7938179
74;17.7263324
75;17.6734266
76;17.6324283
77;17.6016173
78;18.9445635
79;19.061249
80;19.1481723
81;19.3045927
82;19.486386
83;19.6296155
84;19.5909267
85;19.582002
86;19.620353
87;19.5945732
88;19.5570107
89;19.5326896
90;19.5144446
91;19.4985697
92;19.4847471
93;19.4743135
94;18.101377
95;17.9630387
96;17.8570865
97;17.7731239
98;17.7058087
99;17.6505307
100;17.6055145
101;17.5699136
102;18.9075132
103;19.0217583
104;19.1108959
105;19.3591068
106;19.402824
107;19.4520141
108;19.5636301
109;19.5423006
110;19.530797
111;19.5334046
112;19.5190112
113;19.5041558
114;19.4892607
115;19.4732301
116;19.4622224
117;19.4577142
118;18.0884072
119;17.9528068
120;17.8510719
121;17.7728447
122;17.7109164
123;17.660955
124;17.6201911
125;17.5867909
126;18.9240387
127;19.0345327
128;19.1164604
129;19.3638991
130;19.4363494
131;19.434484
132;19.5693113
133;19.5644466
134;19.6294273
135;19.5751236
136;19.5357373
137;19.5051303
138;19.4824835
139;19.4641714
140;19.4487154
141;19.4334933
142;18.0528505
143;17.9103789
144;17.806048
145;17.730177
146;17.6707355
147;17.6251574
148;17.5874088
149;17.5576887
150;18.9008712
151;19.0143569
