Index;Wert
0;3.9892
1;3.9024
2;3.8184
3;3.8253
4;3.8423
5;3.8593
6;3.8763
7;3.89386667
8;3.91086667
9;3.93693333
10;3.85873333
11;4.3336
12;4.6304
13;4.9608
14;5.0616
15;4.9832
16;4.7144
17;4.5072
18;4.3532
19;4.2272
20;4.2076
21;4.2216
22;4.1684
23;4.146
24;4.132
25;4.118
26;4.0928
27;4.0564
28;4.0032
29;3.922
30;3.8996
31;3.8912
32;3.9472
33;3.9332
34;4.0116
35;4.118
36;4.2804
37;4.44
38;4.5184
39;4.5688
40;4.5912
41;4.594
42;4.6164
43;4.65
44;4.6388
45;4.6248
46;4.622
47;4.6304
48;4.6052
49;4.58
50;4.5688
51;4.5464
52;4.5044
53;4.426
54;4.4736
55;4.4204
56;4.384
57;4.356
58;4.454
59;4.7732
60;4.9748
61;5.028
62;5.0476
63;5.0532
64;4.9356
65;4.6724
66;4.5016
67;4.384
68;4.216
69;4.104
70;4.0676
71;4.0396
72;3.9724
73;3.8212
74;3.81906667
75;3.82246667
76;3.81963333
77;3.8604
78;4.02
79;4.076
80;4.1544
81;4.1992
82;4.3812
83;4.5576
84;4.7228
85;4.7284
86;4.6584
87;4.6556
88;4.51
89;4.3756
90;4.272
91;4.1488
92;4.1348
93;4.0816
94;4.034
95;3.9332
96;3.8168
97;3.84116667
98;3.8712
99;3.89556667
100;3.90746667
101;3.9103
102;3.87913333
103;3.8406
104;3.8688
105;3.8352
106;4.1264
107;4.4792
108;4.6752
109;4.6332
110;4.6248
111;4.6416
112;4.5884
113;4.3224
114;4.0564
115;3.9724
116;4.1404
117;4.0732
118;4.0088
119;3.9696
120;3.9304
121;3.8604
122;3.81623333
123;3.83266667
124;3.84796667
125;3.85986667
126;3.85533333
127;3.8423
128;3.86156667
129;3.8559
130;3.8996
131;4.426
132;4.6136
133;4.5072
134;4.426
135;4.2608
136;4.0872
137;3.8996
138;3.81113333
139;3.8287
140;3.84966667
141;3.9052
142;3.9137
143;3.91596667
144;3.88196667
145;3.8933
146;3.88083333
147;3.895
148;3.9052
149;3.8831
150;3.87573333
151;3.8899
152;3.90123333
153;3.90293333
154;3.81283333
155;4.3868
156;4.6948
157;4.8348
158;4.804
159;4.426
160;4.0648
161;3.9584
162;4.3056
163;4.7928
164;4.888
165;4.8376
166;4.734
167;4.5996
168;4.4932
169;4.05615447
170;4.03139425
171;4.03921358
172;4.23751237
173;4.3252
174;4.3056
175;4.202
176;4.1292
177;3.964
178;4.1488
179;4.6024
180;4.9048
181;5.1064
182;5.1792
183;5.1596
184;4.9188
185;4.608
186;4.4792
187;4.4288
188;4.51
189;4.4372
190;4.342
191;4.258
192;4.0508
193;4.09
194;4.1236
195;4.1572
196;4.1208
197;4.0312
198;3.908
199;3.8436
200;3.9416
201;3.8828
202;4.1852
203;4.65
204;4.9244
205;5.22260769
206;5.2696
207;5.27303846
208;5.23636154
209;4.9636
210;4.7424
211;4.5688
212;4.2916
213;4.1124
214;3.9584
215;3.8352
216;3.8168
217;3.8268
218;3.8268
219;3.9696
220;4.188
221;4.4456
222;4.65
223;4.762
224;4.5576
225;4.7256
226;4.8628
227;5.0112
228;5.1792
229;5.23177692
230;5.22948462
231;5.1316
232;4.944
233;4.7088
234;4.5408
235;4.3672
236;4.4372
237;4.398
238;4.4568
239;4.5156
240;4.5268
241;4.482
242;4.51
243;4.4848
244;4.3896
245;4.272
246;4.2104
247;4.1684
248;4.006
249;3.824
250;3.838
251;3.8912
252;4.0704
253;4.4204
254;4.8376
255;5.1092
256;5.0588
257;4.8488
258;4.6976
259;4.6136
260;4.6304
261;4.5212
262;4.4904
263;4.4372
264;4.37
265;4.3644
266;4.1572
267;4.132
268;4.1488
269;4.1068
270;4.034
271;4.0648
272;4.1236
273;4.118
274;4.1544
275;4.2272
276;4.3
277;4.2832
278;4.4624
279;4.5352
280;4.398
281;4.2636
282;4.23
283;4.1264
284;4.146
285;4.0648
286;4.02
287;3.9556
288;3.8296
289;3.8464
290;3.8492
291;3.8548
292;3.8408
293;3.8212
294;3.81283333
295;3.83946667
296;3.82983333
297;3.8406
298;3.8219
299;3.8156
300;3.9136
301;4.1768
302;4.1124
303;4.0928
304;3.9696
305;3.8856
306;3.81623333
307;3.83946667
308;3.8406
309;3.8695
310;3.89386667
311;3.9222
312;3.95563333
313;3.97943333
314;3.99246667
315;4.00776667
316;4.031
317;4.065
318;4.08823333
319;4.1177
320;4.031
321;4.0463
322;3.9732
323;3.8508
324;4.0732
325;4.3392
326;4.4764
327;4.44
328;4.2328
329;3.964
330;3.8287
331;3.8423
332;3.8593
333;3.87006667
334;3.88763333
335;3.8967
336;3.89783333
337;3.89386667
338;3.87233333
339;3.87346667
340;3.8848
341;3.91936667
342;3.94033333
343;3.95166667
344;3.94883333
345;3.9562
346;3.9545
347;3.93863333
348;3.93013333
349;3.94033333
350;3.94713333
351;3.9545
352;3.9545
353;3.9596
354;3.96526667
355;3.97036667
356;3.9698
357;3.97886667
358;3.9868
359;3.99643333
360;4.00436667
361;4.00833333
362;4.014
363;4.00606667
364;4.0089
365;4.01343333
366;4.01683333
367;4.0327
368;4.02873333
369;4.0157
370;3.9936
371;3.97206667
372;3.94486667
373;3.9188
374;3.9222
375;3.92786667
376;3.9579
377;3.98
378;3.9902
379;4.00096667
380;3.98453333
381;3.9919
382;4.0089
383;4.0378
384;4.05366667
385;4.065
386;4.09503333
387;4.11713333
388;4.12336667
389;4.13356667
390;4.1398
391;4.13696667
392;4.116
393;4.08936667
394;4.0684
395;4.0497
396;4.03893333
397;4.0242
398;4.01796667
399;4.03496667
400;4.0633
401;4.1177
402;4.15623333
403;4.2248
404;4.25256667
405;4.14773333
406;4.1551
407;4.167
408;4.1925
409;4.22423333
410;4.30356667
411;4.09733333
412;4.01333333
413;4.068
414;3.996
415;3.96266667
416;3.94133333
417;3.932
418;4.072
419;4.28713333
420;4.22933333
421;4.18173333
422;4.15226667
423;4.14603333
424;4.19023333
425;4.30526667
426;4.21333333
427;4.136
428;3.82936
429;3.79846
430;3.67486
431;3.52448
432;3.38646
433;3.33496
434;3.33908
435;3.31642
436;3.3226
437;3.30406
438;3.42766
439;3.49976
440;3.74284
441;3.97466667
442;4.204
443;4.2605
444;4.13696667
445;4.07576667
446;4.03213333
447;4.00606667
448;3.9868
449;3.99813333
450;4.0208
451;4.0548
452;4.15226667
453;4.17663333
454;4.1959
455;4.2095
456;4.22423333
457;4.24066667
458;4.2537
459;4.2673
460;4.28656667
461;4.31466667
462;4.3132
463;4.17866667
464;3.91176
465;3.817
466;3.97466667
467;4.20933333
468;4.18966667
469;4.0854
470;4.0327
471;4.03893333
472;4.08823333
473;4.17833333
474;4.23783333
475;4.30583333
476;4.3064
477;4.28826667
478;4.2894
479;4.30526667
480;4.29733333
481;4.3132
482;4.269
483;4.25993333
484;4.2367
485;4.24066667
486;4.22026667
487;4.21403333
488;4.2146
489;4.19023333
490;4.12053333
491;4.03836667
492;4.00096667
493;3.97943333
494;3.96073333
495;3.9715
496;3.9868
497;4.03043333
498;4.065
499;4.07803333
500;4.0786
501;4.133
502;4.23046667
503;4.31093333
504;4.25333333
505;4.25466667
506;4.21466667
507;4.14
508;3.97866667
509;3.87056
510;3.63572
511;3.3947
512;3.93066667
513;3.96666667
514;4.14266667
515;4.20893333
516;4.03723333
517;3.94996667
518;3.8933
519;3.87233333
520;3.9069
521;3.99813333
522;4.06896667
523;4.10126667
524;4.167
525;4.16586667
526;4.1228
527;4.05593333
528;3.97546667
529;3.90066667
530;3.83946667
531;3.8772
532;4.1264
533;4.2664
534;4.244
535;4.1824
536;4.0172
537;4.0172
538;4.048
539;4.1068
540;4.1432
541;4.2356
542;4.2216
543;4.188
544;4.2944
545;4.1488
546;4.0088
547;3.9052
548;3.9248
549;3.83323333
550;3.87516667
551;3.89726667
552;3.9375
553;3.98906667
554;4.03156667
555;4.0633
556;4.11543333
557;4.15226667
558;4.15963333
559;4.16416667
560;4.05706667
561;4.02193333
562;3.97773333
563;3.85306667
564;4.356
565;4.65
566;4.8404
567;4.8236
568;4.6248
569;4.552
570;4.5156
571;4.5464
572;4.5688
573;4.6052
574;4.6052
575;4.5828
576;4.05105329
577;3.66230845
578;3.65839896
579;3.65579368
580;3.81518109
581;3.82473333
582;3.88423333
583;3.91086667
584;3.84796667
585;3.8304
586;4.3952
587;5.1736
588;5.44037692
589;5.62146923
590;5.71316154
591;5.7464
592;5.40484615
593;5.1288
594;4.7508
595;4.5016
596;4.3224
597;4.216
598;4.1488
599;4.0032
600;2.98194009
601;2.80991659
602;2.89331987
603;3.0457898
604;3.12137922
605;3.23347146
606;4.2608
607;4.3616
608;4.5408
609;4.6388
610;5.1316
611;5.47705385
612;5.73723077
613;5.89769231
614;5.95385385
615;5.92749231
616;5.80485385
617;5.58823077
618;5.39567692
619;5.28335385
620;5.29137692
621;5.26272308
622;5.25928462
623;4.10918433
624;3.55734485
625;2.99828676
626;2.99437789
627;2.99177198
628;3.00219625
629;3.47450401
630;5.196
631;5.23063077
632;5.28679231
633;5.34983077
634;5.46559231
635;5.61917692
636;5.75327692
637;5.84611538
638;5.87706154
639;5.86216154
640;5.7911
641;5.66960769
642;5.61115385
643;5.51029231
644;5.57906154
645;5.62376154
646;5.62261538
647;4.54044989
648;4.26682342
649;3.91274504
650;3.759892
651;3.65433664
652;3.66215469
653;4.26157916
654;5.53206923
655;5.52748462
656;5.64553846
657;5.58708462
658;5.51831538
659;5.47132308
660;5.42318462
661;5.36358462
662;5.32576154
663;5.28679231
664;5.25355385
665;5.21343846
666;5.21687692
667;5.0224
668;4.8908
669;4.8964
670;4.8908
671;4.74724412
672;3.57300223
673;3.17779353
674;3.1530333
675;3.16085263
676;3.31523617
677;3.75493284
678;4.0788
679;3.8744
680;3.8296
681;3.8324
682;4.3812
683;4.8992
684;5.26501538
685;5.37848462
686;5.43693846
687;5.44725385
688;5.39796923
689;5.26845385
690;5.0308
691;4.8096
692;4.6332
693;4.5016
694;4.3756
695;4.2636
696;4.2132
697;4.16
698;4.1376
699;4.2076
700;4.2692
701;4.2524
702;4.258
703;4.2552
704;4.2468
705;4.4428
706;4.8796
707;5.22604615
708;5.35785385
709;5.38650769
710;5.38765385
711;5.39682308
712;5.38650769
713;5.31659231
714;5.1904
715;5.0448
716;5.0644
717;4.8712
718;4.6724
719;4.4988
720;4.4036
721;4.272
722;4.188
723;4.1488
724;4.0312
725;3.8828
726;3.8151
727;3.8604
728;4.0116
729;4.1936
730;4.398
731;4.4988
732;4.6584
733;4.5744
734;4.538
735;4.5324
736;4.5996
737;5.43808462
738;5.38765385
739;5.33722308
740;5.28679231
741;5.23636154
742;5.1512
743;5.028
744;4.9048
745;4.7816
746;4.6584
747;4.5352
748;4.412
749;4.2916
750;4.1684
751;4.0452
752;3.922
753;3.81226667
754;3.852
755;4.0088
756;4.1152
757;4.2748
758;4.4316
759;4.4932
760;4.4568
761;4.2916
762;4.0424
763;3.8548
764;3.8627
765;3.88253333
766;3.89953333
767;3.91823333
768;3.93353333
769;3.9494
770;3.963
771;3.9817
772;3.99926667
773;4.01626667
774;4.02533333
775;4.0259
776;4.0174
777;3.9715
778;3.8763
779;3.8884
780;4.2244
781;4.384
782;4.4064
783;4.2692
784;4.0872
785;3.8996
786;3.84626667
787;3.87743333
788;3.90293333
789;3.92616667
790;3.95166667
791;3.97263333
792;3.9664
793;3.9511
794;3.9358
795;3.9358
796;3.92956667
797;3.92956667
798;3.94203333
799;3.9596
800;3.92673333
801;3.93636667
802;3.88196667
803;3.84796667
804;3.838
805;4.0396
806;4.006
807;4.0144
808;3.9836
809;3.81793333
810;3.8831
811;3.94826667
812;3.98396667
813;3.99756667
814;3.9953
815;4.00096667
816;4.01003333
817;4.02363333
818;4.0242
819;4.01456667
820;4.00606667
821;4.00663333
822;4.0038
823;4.03213333
824;4.06613333
825;3.997
826;3.87856667
827;3.827
828;3.8772
829;3.9724
830;4.034
831;3.9528
832;3.827
833;3.88083333
834;3.92163333
835;3.93806667
836;3.9902
837;3.99133333
838;4.02986667
839;4.0463
840;4.0599
841;4.06103333
842;4.05876667
843;4.08596667
844;4.099
845;4.099
846;4.099
847;4.1007
848;3.99643333
849;3.98623333
850;3.93296667
851;3.86213333
852;3.8716
853;4.146
854;4.2972
855;4.2972
856;4.1964
857;3.9136
858;3.86156667
859;3.9171
860;3.98226667
861;4.00833333
862;4.02306667
863;4.03326667
864;4.04176667
865;4.0565
866;4.0718
867;4.08143333
868;4.08653333
869;4.08256667
870;4.0854
871;4.08823333
872;4.07406667
873;3.98963333
874;3.9052
875;3.8321
876;4.0228
877;4.3924
878;4.6248
879;4.7144
880;4.608
881;4.216
882;3.8321
883;3.91143333
884;3.98906667
885;4.03043333
886;4.07293333
887;4.08426667
888;4.09616667
889;4.0871
890;4.0412
891;4.03836667
892;4.0463
893;4.05876667
894;4.065
895;4.08143333
896;4.1024
897;4.0735
898;3.9936
899;3.93976667
900;3.88366667
901;3.8355
902;3.82303333
903;3.8304
904;3.8559
905;3.89556667
906;3.9341
907;3.96413333
908;3.9987
909;4.01796667
910;4.0242
911;4.04516667
912;4.05876667
913;4.05763333
914;4.0463
915;4.031
916;4.0446
917;4.07123333
918;4.09446667
919;4.09276667
920;4.04063333
921;4.01116667
922;3.97036667
923;3.92446667
924;3.8882
925;3.85476667
926;3.83663333
927;3.82473333
928;3.82983333
929;3.86326667
930;3.90066667
931;3.91823333
932;3.97093333
933;4.0191
934;4.04913333
935;4.05876667
936;4.07803333
937;4.08086667
938;4.08766667
939;4.07293333
940;4.10863333
941;4.11033333
942;4.09276667
943;4.11486667
944;4.03383333
945;4.00436667
946;3.87856667
947;3.9668
948;4.2412
949;4.4148
950;4.5744
951;4.58
952;4.4652
953;4.202
954;3.908
955;3.8644
956;3.91483333
957;3.95733333
958;3.98
959;4.02646667
960;4.06896667
961;4.1024
962;4.11486667
963;4.11883333
964;4.1228
965;4.1109
966;4.08313333
967;4.04856667
968;4.01683333
969;3.9443
970;3.86723333
971;3.894
972;4.0396
973;4.1236
974;4.0676
975;4.09
976;3.936
977;3.8219
978;3.88536667
979;3.94996667
980;3.97036667
981;3.9681
982;3.95733333
983;3.9579
984;3.9715
985;3.98113333
986;3.98453333
987;4.0038
988;3.99813333
989;3.98453333
990;3.96016667
991;3.94826667
992;3.90973333
993;3.87063333
994;3.8202
995;3.8688
996;4.0088
997;4.2216
998;4.3308
999;4.3336
1000;4.2916
1001;4.1768
1002;4.0088
1003;3.88
1004;3.83833333
1005;3.8491
1006;3.8474
1007;3.85476667
1008;3.8695
1009;3.8797
1010;3.9086
1011;3.9171
1012;3.9154
1013;3.91993333
1014;3.929
1015;3.96243333
1016;3.98226667
1017;3.96356667
1018;3.9154
1019;3.87516667
1020;3.84116667
1021;3.8253
1022;3.8219
1023;3.83153333
1024;3.85533333
1025;3.8933
1026;3.9375
1027;3.99246667
1028;4.0378
1029;4.05026667
1030;4.0803
1031;4.1041
1032;4.11033333
1033;4.12903333
1034;4.1449
1035;4.1568
1036;4.17606667
1037;4.18683333
1038;4.19646667
1039;4.20666667
1040;4.21573333
1041;4.1075
1042;3.9885
1043;3.8848
1044;3.8253
1045;3.936
1046;3.9892
1047;3.992
1048;3.9052
1049;3.861
1050;3.95903333
1051;4.02986667
1052;4.06216667
1053;4.0837
1054;4.09843333
1055;4.11656667
1056;4.14943333
1057;4.19476667
1058;4.22196667
1059;4.22536667
1060;4.22083333
1061;4.22083333
1062;4.22083333
1063;4.23216667
1064;4.29053333
1065;4.1466
1066;4.0174
1067;3.92503333
1068;3.84683333
1069;3.9192
1070;4.09
1071;4.1572
1072;4.0844
1073;3.82076667
1074;3.94203333
1075;4.0225
1076;4.0497
1077;4.0871
1078;4.0973
1079;4.0922
1080;4.08766667
1081;4.08936667
1082;4.08256667
1083;4.0565
1084;4.03496667
1085;4.01003333
1086;3.9953
1087;3.98283333
1088;3.98
1089;3.95903333
1090;3.91823333
1091;3.87233333
1092;3.81396667
1093;3.9528
1094;4.132
1095;4.2636
1096;4.4848
1097;4.5492
1098;4.5744
1099;4.608
1100;4.5184
1101;4.5212
1102;4.5072
1103;4.482
1104;4.4456
1105;4.4372
1106;4.4064
1107;4.3756
1108;4.3392
1109;4.2692
1110;4.2244
1111;4.1432
1112;3.9472
1113;4.0312
1114;4.3644
1115;4.6976
1116;5
1117;5.1792
1118;5.1596
1119;5.126
1120;5
1121;4.6752
1122;4.2216
1123;3.8744
1124;3.8287
1125;3.8831
1126;3.95846667
1127;4.01286667
1128;4.0004
1129;3.97603333
1130;3.94033333
1131;3.91596667
1132;3.9001
1133;3.9103
1134;3.91086667
1135;3.91143333
1136;3.90916667
1137;3.90406667
1138;3.88593333
1139;3.88423333
1140;3.878
1141;3.8644
1142;3.87233333
1143;3.86893333
1144;3.88933333
1145;3.90973333
1146;3.92673333
1147;3.93523333
1148;3.95336667
1149;3.9579
1150;3.96413333
1151;3.96866667
1152;3.98736667
1153;4.01513333
1154;4.05763333
1155;4.09106667
1156;4.06443333
1157;4.06613333
1158;4.0701
1159;4.0395
1160;4.23386667
1161;4.1636
1162;4.0854
1163;3.9868
1164;3.9205
1165;3.87006667
1166;3.85136667
1167;3.84003333
1168;3.8389
1169;3.85136667
1170;3.87686667
1171;3.92446667
1172;3.96356667
1173;4.01683333
1174;4.0429
1175;4.0752
1176;4.099
1177;4.12166667
1178;4.1143
1179;4.17323333
1180;4.19873333
1181;4.2197
1182;4.31376667
1183;4.21733333
1184;4.30753333
1185;4.296
1186;4.14943333
1187;4.07803333
1188;4.02023333
1189;3.97036667
1190;3.92843333
1191;3.90746667
1192;3.9086
1193;3.91823333
1194;3.93693333
1195;3.96923333
1196;4.05593333
1197;4.04686667
1198;4.02476667
1199;4.04346667
1200;4.0582
1201;4.07916667
1202;4.08936667
1203;4.099
1204;4.10296667
1205;4.09503333
1206;4.1075
1207;4.10466667
1208;4.099
1209;4.06896667
1210;4.07406667
1211;3.94486667
1212;3.90803333
1213;3.8831
1214;3.86383333
1215;3.8729
1216;3.88933333
1217;3.91256667
1218;3.96356667
1219;4.00776667
1220;4.06613333
1221;4.11656667
1222;4.13866667
1223;4.1772
1224;4.22026667
1225;4.2248
1226;4.22026667
1227;4.25596667
1228;4.29676667
1229;4.2554
1230;4.21233333
1231;4.2146
1232;4.19873333
1233;4.13413333
1234;4.0191
1235;3.94996667
1236;3.89783333
1237;3.85136667
1238;3.8355
1239;3.8338
1240;3.84173333
1241;3.88763333
1242;3.96413333
1243;4.01966667
1244;4.05593333
1245;4.08993333
1246;4.1126
1247;4.13016667
1248;4.14773333
1249;4.1636
1250;4.17323333
1251;4.17266667
1252;4.17436667
1253;4.1721
1254;4.16416667
1255;4.14943333
1256;4.13526667
1257;4.1075
1258;4.06613333
1259;4.0242
1260;3.99133333
1261;3.94826667
1262;3.9222
1263;3.90633333
1264;3.9086
1265;3.93126667
1266;3.98906667
1267;4.0242
1268;4.03156667
1269;4.05196667
1270;4.07066667
1271;4.09276667
1272;4.10183333
1273;4.1109
1274;4.1177
1275;4.1228
1276;4.133
1277;4.15113333
1278;4.15793333
1279;4.16813333
1280;4.15963333
1281;4.1381
1282;4.08936667
1283;4.0429
1284;3.9919
1285;3.94033333
1286;3.91426667
1287;3.88196667
1288;3.87913333
1289;3.8984
1290;3.946
1291;3.98283333
1292;4.00606667
1293;4.0429
1294;4.06386667
1295;4.08483333
1296;4.09276667
