Index;Wert
0;17.5809203
1;17.5125225
2;17.4612112
3;17.4203749
4;17.386682
5;17.3581913
6;18.7605403
7;18.9104719
8;18.9820981
9;19.0920662
10;19.1548755
11;19.2197851
12;19.3105051
13;19.3545509
14;19.3971075
15;19.4356779
16;19.3948376
17;19.3608369
18;19.3355619
19;19.31532
20;19.3017223
21;19.295464
22;17.8634422
23;17.686178
24;17.5908349
25;17.5303176
26;17.4870623
27;17.453556
28;17.4259549
29;17.4014188
30;18.8083436
31;18.9658004
32;19.0491543
33;19.1081962
34;19.1422165
35;19.1968487
36;19.2675254
37;19.3116628
38;19.3117418
39;19.3194633
40;19.32325
41;19.3246265
42;19.3279236
43;19.3325321
44;19.3359247
45;19.337003
46;17.9104884
47;17.7396922
48;17.648509
49;17.5896379
50;17.5479375
51;17.5166566
52;17.4912881
53;17.4684697
54;18.8793105
55;19.0391458
56;19.1183293
57;19.2128682
58;19.2779019
59;19.3436335
60;19.4292419
61;19.44972
62;19.517954
63;19.6352257
64;19.4990359
65;19.4339463
66;19.391071
67;19.3608929
68;19.3352064
69;19.3119547
70;17.8680195
71;17.6849751
72;17.5836265
73;17.5122028
74;17.4577725
75;17.4188153
76;17.3916454
77;17.3761498
78;18.7996686
79;18.9722525
80;19.0647806
81;19.1958253
82;19.3502028
83;19.4737836
84;19.4398894
85;19.4192169
86;19.4393206
87;19.4158563
88;19.3777388
89;19.3482451
90;19.3268074
91;19.3082706
92;19.2945875
93;19.2850511
94;17.8491577
95;17.6670027
96;17.5608287
97;17.4864548
98;17.4286521
99;17.3811666
100;17.3442377
101;17.3177732
102;18.7326325
103;18.9067227
104;19.0093473
105;19.2174075
106;19.264309
107;19.3084743
108;19.4061584
109;19.3904261
110;19.371434
111;19.3688927
112;19.3558747
113;19.3334908
114;19.3050016
115;19.2809156
116;19.2746435
117;19.2740965
118;17.8408432
119;17.6621298
120;17.5646571
121;17.5001549
122;17.4510805
123;17.4114405
124;17.3787939
125;17.3521601
126;18.7605618
127;18.9228262
128;19.0042149
129;19.2036291
130;19.2748439
131;19.2854799
132;19.4031337
133;19.3999874
134;19.437942
135;19.38293
136;19.3329926
137;19.2941613
138;19.2673596
139;19.248101
140;19.2313017
141;19.2080583
142;17.7591087
143;17.5753218
144;17.484223
145;17.4290579
146;17.389317
147;17.3585582
148;17.3308224
149;17.3140997
150;18.7330737
151;18.8948192
152;18.9734786
153;19.1815767
154;19.3353656
155;19.3618451
156;19.3765991
157;19.3754765
158;19.3772107
159;19.3995242
160;19.3342526
161;19.2936149
162;19.2877026
163;19.3158487
164;19.3461363
165;19.358571
166;17.9308671
167;17.750472
168;17.6474574
169;17.577353
170;17.5297131
171;17.5002897
172;17.4778802
173;17.455129
174;18.8623035
175;19.0162215
176;19.0897454
177;19.2864247
178;19.4192667
179;19.523422
180;19.5315772
181;19.5561131
182;19.5887682
183;19.5760475
184;19.5818222
185;19.4671691
186;19.4076989
187;19.3739107
188;19.3578789
189;19.3474873
190;17.9068009
191;17.7205316
192;17.6102975
193;17.5382912
194;17.4937411
195;17.4635195
196;17.4394626
197;17.4159963
198;18.8186401
199;18.9684788
200;19.0484788
201;19.1197144
202;19.175473
203;19.2367494
204;19.2990565
205;19.358242
206;19.4060558
