Groesse;Wert
Lauf.ID_Projekt;1007
Sim.Restwaerme;6.04914188
Sim.Reststrom;38.4009056
Sim.bSimulationWP;True
Sim.bSimulationKessel;False
Sim.bSimulationSolarthermie;True
Sim.bSimulationBHKW;False
Sim.bSimulationPV;True
Sim.bSimulationSSP;True
Sim.PufferWP_vorhanden;False
Ergebnis.ID_Projekt;1007
Ergebnis.Bezeichner;Simulation Laurentiuskirche
Ergebnis.ID_Klimaregion;1007001
Ergebnis.Sim_Energiebedarf;True
Ergebnis.Sim_Waermepumpe;True
Ergebnis.Sim_Heizkessel;False
Ergebnis.Sim_Solarthermie;True
Ergebnis.Sim_BHKW;False
Ergebnis.Sim_PV;True
Ergebnis.Sim_Stromspeicher;True
Energiebedarf.Waermebedarf_Gesamt;56.9
Energiebedarf.Waermelast_Max;36.17
Energiebedarf.Strombedarf_Gesamt;12
Energiebedarf.Strombedarf_Max;3.28
Energiebedarf.Waermerestbedarf;6.05
Energiebedarf.Stromrestbedarf;38.4
Waermepumpe.Waermebedarf;56.9
Waermepumpe.Restwaermebedarf;6.05
Waermepumpe.Waermeproduktion_WP;24.38
Waermepumpe.Stromverbrauch_WP;5.56
Waermepumpe.Stromverbrauch_Heizstab;26.46
Waermepumpe.Kapazitaet_Pufferspeicher;11.6
Waermepumpe.Min_Spitzenkesselleistung;19.99
Waermepumpe.Waermebedarfsdeckung;89.37
Waermepumpe.Vollbenutzungsstunden;5076.62
Waermepumpe.Bivalenzpunkt;18.11
WaermepumpeModul[0].Modul;CS3400i AWS 10 E + CS3400i AWS 4 OR-S
WaermepumpeModul[0].Leistung;3
WaermepumpeModul[0].Waermeproduktion;24.38
WaermepumpeModul[0].Stromverbrauch;5.56
WaermepumpeModul[0].Heizstab;26.46
WaermepumpeModul[0].Betriebsstunden;5076.62
Solarthermie.Waermebedarf;56.9
Solarthermie.Restwaermebedarf;56.9
Solarthermie.Waermeproduktion;0
Solarthermie.Waermebedarfsdeckung;0
Solarthermie.Ueberschuss;0
Photovoltaik.Strombedarf;44.02
Photovoltaik.Reststrombedarf;38.4
Photovoltaik.Stromproduktion;5.62
Photovoltaik.Strombedarfsdeckung;12.77
Photovoltaik.Ueberschuss;0.43
Photovoltaik.MaxSolareLeistung;968.27
PhotovoltaikModul[0].Modul;Ablytek 6MN6A270
PhotovoltaikModul[0].Flaeche;32.54
PhotovoltaikModul[0].Anzahl;20
PhotovoltaikModul[0].Stromproduktion;6.05
PhotovoltaikModul[1].Modul;Ablytek 6MN6A275
PhotovoltaikModul[1].Flaeche;0
PhotovoltaikModul[1].Anzahl;0
PhotovoltaikModul[1].Stromproduktion;0
Vektor.waermebedarf.Summe;56898.3239
Vektor.waermebedarf_gebaeude.Summe;52838623.5
Vektor.waermebedarf_brauchwasser.Summe;4059.70056
Vektor.waermebedarf_prozess.Summe;0
Vektor.waermebedarf_extern.Summe;0
Vektor.waermebedarf_dauerlinie.Summe;157292.587
Vektor.stundentemperatur.Summe;86502.49
Vektor.restwaerme.Summe;6049.14707
Vektor.strombedarf_viertelstunde.Summe;48000
Vektor.reststrom_viertelstunde.Summe;153603.63
Vektor.wp_waermebedarf.Summe;56898.3239
Vektor.wp_produktion.Summe;24384.1927
Vektor.wp_strom.Summe;5558.65891
Vektor.heizstab.Summe;26464.9841
Vektor.wp_restwaerme.Summe;6049.14707
Vektor.wp_quellentemperatur.Summe;86502.49
Vektor.wp_warmwasserbedarf.Summe;4059.70056
Vektor.solar_waermebedarf.Summe;56898.3239
Vektor.solar_produktion.Summe;0
Vektor.solar_restwaerme.Summe;56898.3239
Vektor.solar_ueberschuss.Summe;0
Vektor.pv_produktion.Summe;5622.73547
Vektor.pv_produktion_theoretisch.Summe;6053.13937
Vektor.pv_ueberschuss.Summe;430.403897
Vektor.pv_reststrom.Summe;38400.9076
Vektor.pv_speicherfuellstand.Summe;51711.7916
Vektor.pv_strombedarf.Summe;44023.6431
Vektor.ssp_gespeichert_viertelstunde.Summe;0
